epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1498.29,0.78989,3.4577,0.32555,0.47272,1.05013,0.86058,0.82911,0.90195,0.51075,0.53645,0.45412,0.45237,0.1455,1.55675,5.18484,0.66206,0.90918,2.22846,0.003664,0.003664,0.003664
98,1513.85,0.76081,3.44602,0.325,0.46796,1.03371,0.85344,0.92141,0.92504,0.58199,0.64599,0.56962,0.54434,0.16868,1.38614,4.52786,0.55114,0.78226,2.08203,0.003598,0.003598,0.003598
99,1529.14,0.77739,3.46722,0.32682,0.46445,1.05684,0.87638,0.89873,0.92219,0.5822,0.66961,0.60288,0.55813,0.17769,1.36287,4.61426,0.6028,0.79615,2.08431,0.003532,0.003532,0.003532
100,1544.06,0.76788,3.56851,0.32122,0.46886,1.04261,0.87038,0.87975,0.90986,0.55689,0.56373,0.58228,0.48122,0.16192,1.41407,4.7028,0.58266,0.83163,2.17507,0.003466,0.003466,0.003466
101,1559.56,0.78022,3.55075,0.32067,0.47676,1.06083,0.8304,0.81013,0.85694,0.48344,0.49512,0.46835,0.37123,0.10406,1.57867,5.33801,0.62847,0.94303,2.38653,0.0034,0.0034,0.0034
102,1574.29,0.76973,3.45899,0.32445,0.46609,1.04963,0.91653,0.9034,0.92209,0.57153,0.5785,0.56329,0.45562,0.14623,1.3795,4.88326,0.62188,0.79147,2.12061,0.003334,0.003334,0.003334
103,1589.24,0.75204,3.36383,0.32851,0.46144,1.04145,0.81298,0.90794,0.90386,0.55098,0.61773,0.59494,0.54197,0.16399,1.40474,4.50688,0.50519,0.81915,2.15096,0.003268,0.003268,0.003268
104,1604.24,0.74831,3.3626,0.32755,0.46525,1.04778,0.85065,0.91772,0.9454,0.57106,0.64512,0.55696,0.49029,0.15249,1.40943,4.777,0.57692,0.79019,2.1406,0.003202,0.003202,0.003202
105,1619.5,0.77837,3.41354,0.33145,0.4721,1.0587,0.87371,0.87575,0.91998,0.52929,0.58549,0.46835,0.40138,0.13848,1.44124,4.93848,0.59851,0.86724,2.19154,0.003136,0.003136,0.003136
106,1634.51,0.76642,3.33698,0.31524,0.4516,1.0462,0.86618,0.91139,0.94246,0.57191,0.61247,0.55696,0.51603,0.15247,1.37821,4.65507,0.54978,0.79119,2.10558,0.00307,0.00307,0.00307
